,DJI,HSI,OMX20,STI,FTSE,
02/03/2001,0.001546396,-0.027828967,-0.008436432,-0.002372344,-0.008503385,
05/03/2001,0.009129163,0.012015792,0.004339378,-0.003771706,0.012337888,
06/03/2001,0.002734402,0.013058098,0.006489896,0,0.013519071,
07/03/2001,0.012980507,-0.010084157,-3.19E-05,0.005605137,-0.001699708,
08/03/2001,0.011918744,0.002225722,0.002609721,-0.002919358,0.000226573,
09/03/2001,-0.019869862,-0.00102805,-0.004332045,-0.003601959,-0.014412469,
12/03/2001,-0.041858394,-0.029863787,-0.018330813,-0.025870136,-0.015455284,
13/03/2001,0.00805411,-0.020806955,-0.017779121,-0.028440898,-0.018321742,
14/03/2001,-0.031322627,-0.012093108,-0.026357907,-0.003225495,-0.016708345,
15/03/2001,0.005780019,0.012918379,0.007245427,0.000925818,0.018189573,
16/03/2001,-0.020939322,0.00132242,-0.01187743,-0.012193289,-0.029472424,
19/03/2001,0.013718557,-0.004770257,-0.016799596,-0.028591774,-0.002029804,
20/03/2001,-0.024223602,-0.017527916,0.010223555,0.005530075,0.017011845,
21/03/2001,-0.024341358,-0.005263429,-0.001822904,-0.002138915,-0.018960947,
22/03/2001,-0.010332015,-0.041329905,-0.019501791,-0.026077831,-0.041642092,
23/03/2001,0.012204309,-0.003054133,0.013216589,0.018706983,0.016344368,
26/03/2001,0.019044611,0.028758319,0.032414269,0.001677589,0.03174893,
27/03/2001,0.026486139,-0.018909778,-0.001376001,-0.022840779,0.026809853,
28/03/2001,-0.016438826,0.011229686,-0.015330509,-0.015040584,-0.020123866,
29/03/2001,0.001400329,-0.013594002,-0.007496569,-0.016019353,-0.00456866,
30/03/2001,0.008102565,0.006505902,0.011716416,0.027958771,0.008075145,
02/04/2001,-0.010261601,-0.002616141,-0.026043407,-0.015221067,-0.00271236,
03/04/2001,-0.030340944,-0.011305645,-0.024308406,-0.002909195,-0.028037499,
04/04/2001,0.003126329,-0.042241876,-0.017545258,-0.013545414,0.013199753,
05/04/2001,0.041443151,0,0.025831959,0.033281133,0.015424922,
06/04/2001,-0.012883213,0.026414278,0.007691531,-0.004003519,-0.003619283,
09/04/2001,0.005505366,-0.015007982,0.004278757,-0.046089017,0.010979483,
10/04/2001,0.02582771,0.000947748,0.011586567,0.006356132,0.024368264,
11/04/2001,-0.008875319,0.039552348,0.006448187,0.006879195,-0.002576123,
12/04/2001,0.011268234,0.022030865,0,-0.014722372,-0.003712782,
17/04/2001,0.008827255,-0.029930441,0.005381794,-0.016364698,-0.000961163,
18/04/2001,0.038320157,0.02864627,0.025283621,0.024743517,0.022164996,
19/04/2001,0.007309621,0.043454196,-0.003472689,0.024577487,-0.003157675,
20/04/2001,-0.01070471,-0.007468991,-0.01492892,0.006208134,0.001395572,
23/04/2001,-0.004511842,-0.01021174,-0.003844,0.017186431,-0.001455182,
24/04/2001,-0.007422116,-0.002775135,0.001770756,0.000735678,-0.005293927,
25/04/2001,0.016211232,-0.001889599,-0.005184894,-0.009121384,-0.002195797,
26/04/2001,0.006299656,0.003282266,-0.000444695,-0.000454967,0.006985448,
27/04/2001,0.010947855,0.006966517,0.00600377,0.009760186,0.014056414,
30/04/2001,-0.006970016,0,0.014417889,0.021278709,0.002611103,
01/05/2001,0.015104455,0,-0.003156166,0,-0.006545647,
02/05/2001,-0.001990027,0.031487571,-0.009325022,0.008634943,-0.0040263,
03/05/2001,-0.00738495,-0.0069809,0.005753951,-0.00307783,-0.023718315,
04/05/2001,0.014216937,-0.024136952,-0.003042084,-0.010141769,0.017958389,
08/05/2001,-0.006204074,0.011125996,0.024907263,-0.007527503,0.002740569,
09/05/2001,-0.00151963,0.00326846,-0.008089425,-0.011606598,0.001234288,
